model,seed,missing_type,position,ratio,n,clean_accuracy,clean_macro_f1,clean_weighted_f1,clean_mae,clean_pearson,gap_accuracy,gap_macro_f1,gap_weighted_f1,gap_mae,gap_pearson,delta_macro_f1_clean_minus_gap,delta_mae_gap_minus_clean
M1,1729,text,middle,0.3,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.6,0.5731352645119353,0.5988626383230138,0.6261638836782113,0.6032381915003736,0.026195874921943973,0.02973471288048246
M1,2718,text,middle,0.3,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.620979020979021,0.5697313700201451,0.6029232778393129,0.6158225600794934,0.6033253398420485,-0.019469607154253277,0.028990338042449992
M1,31415,text,middle,0.3,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.5804195804195804,0.4780924240264277,0.5270898617662954,0.6853886760497739,0.6051747859302993,0.06789410228112225,0.048417828392426254
M0,1729,text,late,0.1,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.6153846153846154,0.5931159378996099,0.6151388121667282,0.6184306312293805,0.6008201038741017,0.007281515638847491,0.0013912112159016887
M0,2718,text,late,0.1,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.6097902097902098,0.5787051066046609,0.6029178127174823,0.6008889587596059,0.6203682867599917,0.005955175147830505,0.015827272331889186
M0,31415,text,late,0.1,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.5986013986013986,0.5311817571482021,0.5687587359106998,0.66089260663733,0.6096638511532532,0.017034614052832575,0.02965298916564907
M1,1729,text,late,0.1,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.6083916083916084,0.5818932597193467,0.6055806029719073,0.6085219199202591,0.613795990870391,0.01743787971453259,0.012092749122530222
M1,2718,text,late,0.1,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.627972027972028,0.5609421432195405,0.5984119514427734,0.598013404982451,0.6257586079117682,-0.01068038035364871,0.011181182945407597
M1,31415,text,late,0.1,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.6027972027972028,0.5215520572686836,0.5628886451702844,0.6663601062195441,0.6234351123346553,0.02443446903886637,0.02938925856219643
M0,1729,text,late,0.2,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.6,0.57120155007635,0.5965284861435578,0.6195740837766626,0.6028866823818884,0.02919590346210743,0.0025346637631837865
M0,2718,text,late,0.2,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.6237762237762238,0.5884469099069128,0.6150971210410467,0.6081205922082861,0.6229096492308125,-0.003786628154421434,0.02305890578056935
M0,31415,text,late,0.2,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.586013986013986,0.5060435647851388,0.5489553787958793,0.6662542303444466,0.6092483206468582,0.042172806415895936,0.03501461287276575
M1,1729,text,late,0.2,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.6041958041958042,0.5797613674387325,0.6024434863346786,0.6121551285631356,0.617470909757143,0.019569771995146756,0.01572595776540675
M1,2718,text,late,0.2,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6139860139860139,0.5528536041130419,0.5879127779336504,0.6035214260329617,0.6303802170065249,-0.002591841247150062,0.016689203995918223
M1,31415,text,late,0.2,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.5818181818181818,0.4910143451319922,0.5365773192938968,0.6686949521249447,0.626836951533264,0.054972181175557744,0.03172410446759699
M0,1729,text,late,0.3,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.5692307692307692,0.5366306552747944,0.5644667954511462,0.6411639215162519,0.5842366605919508,0.06376679826366305,0.02412450150277312
M0,2718,text,late,0.3,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.5944055944055944,0.5487168162248147,0.5801026581170717,0.6277519260910893,0.6066169630826245,0.03594346552767669,0.0426902396633726
M0,31415,text,late,0.3,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.5622377622377622,0.4733234656381655,0.5190061554921915,0.6872474572412878,0.5847411402649043,0.0748929055628692,0.05600783976960688
M1,1729,text,late,0.3,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.5804195804195804,0.5567312820025722,0.579269312337682,0.6309314640356111,0.6012792936997406,0.04259985743130712,0.03450229323788223
M1,2718,text,late,0.3,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.5804195804195804,0.5103872188772489,0.5499397527410264,0.6186448719484366,0.6155333610046406,0.039874543988642874,0.03181264991139321
M1,31415,text,late,0.3,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.5762237762237762,0.48898792592254975,0.5332267676277764,0.6813073889358894,0.6092923023827458,0.05699860038500021,0.0443365412785417
